trial,msg_len,flip_pos,beta,alpha,p_percent
759,128,26,85,34,47.22222222222222
760,128,11,97,34,53.888888888888886
761,128,39,89,25,49.44444444444444
762,128,53,76,38,42.22222222222222
763,128,2,82,29,45.55555555555556
764,128,53,96,34,53.333333333333336
765,128,92,91,34,50.55555555555556
766,128,44,77,31,42.77777777777778
767,128,72,90,31,50.0
768,128,72,84,34,46.666666666666664
769,128,55,86,29,47.77777777777778
770,128,60,77,36,42.77777777777778
771,128,107,80,29,44.44444444444444
772,128,106,103,24,57.22222222222222
773,128,65,79,27,43.888888888888886
774,128,100,100,28,55.55555555555556
775,128,56,89,23,49.44444444444444
776,128,125,100,23,55.55555555555556
777,128,123,77,30,42.77777777777778
778,128,62,95,26,52.77777777777778
779,128,9,84,38,46.666666666666664
780,128,91,93,31,51.66666666666667
781,128,117,82,26,45.55555555555556
782,128,98,91,31,50.55555555555556
783,128,34,85,29,47.22222222222222
784,128,35,79,35,43.888888888888886
785,128,116,84,29,46.666666666666664
