trial,msg_len,flip_pos,beta,alpha,p_percent
648,128,13,68,60,37.77777777777778
649,128,10,74,68,41.11111111111111
650,128,82,66,61,36.666666666666664
651,128,23,70,61,38.88888888888889
652,128,119,65,67,36.11111111111111
653,128,25,68,60,37.77777777777778
654,128,80,66,60,36.666666666666664
655,128,35,66,63,36.666666666666664
656,128,124,67,62,37.22222222222222
657,128,116,61,69,33.88888888888889
658,128,30,64,58,35.55555555555556
659,128,126,70,63,38.88888888888889
660,128,126,75,68,41.66666666666667
661,128,49,72,74,40.0
662,128,55,69,59,38.333333333333336
663,128,48,75,63,41.66666666666667
664,128,108,65,69,36.11111111111111
665,128,72,67,55,37.22222222222222
666,128,28,74,60,41.11111111111111
667,128,31,67,64,37.22222222222222
668,128,125,76,60,42.22222222222222
669,128,59,59,62,32.77777777777778
670,128,86,82,64,45.55555555555556
671,128,23,64,63,35.55555555555556
672,128,64,59,60,32.77777777777778
673,128,91,69,57,38.333333333333336
674,128,88,72,59,40.0
675,128,20,68,61,37.77777777777778
676,128,102,67,59,37.22222222222222
677,128,108,68,65,37.77777777777778
678,128,108,63,63,35.0
679,128,22,63,66,35.0
680,128,65,72,60,40.0
681,128,25,76,71,42.22222222222222
682,128,28,71,65,39.44444444444444
683,128,27,81,59,45.0
684,128,97,73,57,40.55555555555556
685,128,0,61,71,33.88888888888889
686,128,64,66,66,36.666666666666664
687,128,100,78,59,43.333333333333336
688,128,84,63,63,35.0
689,128,87,73,62,40.55555555555556
690,128,99,76,57,42.22222222222222
691,128,49,77,57,42.77777777777778
692,128,79,67,66,37.22222222222222
693,128,95,69,57,38.333333333333336
694,128,25,66,75,36.666666666666664
695,128,18,71,64,39.44444444444444
696,128,93,76,62,42.22222222222222
697,128,80,66,71,36.666666666666664
698,128,53,68,62,37.77777777777778
699,128,108,59,59,32.77777777777778
700,128,46,72,67,40.0
701,128,68,63,59,35.0
702,128,39,69,63,38.333333333333336
703,128,14,73,65,40.55555555555556
704,128,109,69,65,38.333333333333336
705,128,69,66,59,36.666666666666664
706,128,99,57,62,31.666666666666664
707,128,84,72,61,40.0
708,128,90,62,62,34.44444444444444
709,128,67,72,65,40.0
710,128,88,74,68,41.11111111111111
711,128,101,72,69,40.0
712,128,62,72,59,40.0
713,128,11,59,65,32.77777777777778
714,128,63,63,65,35.0
715,128,29,76,66,42.22222222222222
716,128,49,75,60,41.66666666666667
717,128,3,65,66,36.11111111111111
718,128,96,72,57,40.0
719,128,43,73,58,40.55555555555556
720,128,48,80,60,44.44444444444444
721,128,43,69,68,38.333333333333336
722,128,39,73,67,40.55555555555556
723,128,93,62,64,34.44444444444444
724,128,28,67,69,37.22222222222222
725,128,116,74,59,41.11111111111111
726,128,38,63,62,35.0
727,128,124,75,65,41.66666666666667
728,128,122,67,72,37.22222222222222
729,128,4,72,59,40.0
730,128,124,67,67,37.22222222222222
731,128,26,76,72,42.22222222222222
732,128,16,67,57,37.22222222222222
733,128,40,67,66,37.22222222222222
734,128,60,69,61,38.333333333333336
735,128,35,68,62,37.77777777777778
736,128,119,69,67,38.333333333333336
737,128,61,75,62,41.66666666666667
738,128,14,65,56,36.11111111111111
739,128,95,78,61,43.333333333333336
740,128,59,77,64,42.77777777777778
741,128,55,72,61,40.0
742,128,102,75,60,41.66666666666667
743,128,105,73,64,40.55555555555556
744,128,30,62,55,34.44444444444444
745,128,98,80,62,44.44444444444444
746,128,3,70,64,38.88888888888889
747,128,113,72,60,40.0
748,128,110,60,64,33.33333333333333
749,128,4,78,58,43.333333333333336
750,128,96,66,57,36.666666666666664
751,128,88,76,60,42.22222222222222
752,128,60,66,66,36.666666666666664
753,128,74,65,60,36.11111111111111
754,128,68,73,61,40.55555555555556
755,128,15,66,58,36.666666666666664
756,128,68,60,64,33.33333333333333
757,128,26,69,59,38.333333333333336
758,128,11,67,60,37.22222222222222
759,128,26,63,62,35.0
760,128,11,62,66,34.44444444444444
761,128,39,72,61,40.0
762,128,53,66,69,36.666666666666664
763,128,2,76,62,42.22222222222222
764,128,53,67,67,37.22222222222222
765,128,92,67,67,37.22222222222222
766,128,44,73,65,40.55555555555556
767,128,72,60,62,33.33333333333333
768,128,72,74,72,41.11111111111111
769,128,55,73,65,40.55555555555556
770,128,60,65,69,36.11111111111111
771,128,107,66,58,36.666666666666664
772,128,106,71,58,39.44444444444444
773,128,65,71,64,39.44444444444444
774,128,100,68,62,37.77777777777778
775,128,56,75,56,41.66666666666667
776,128,125,66,59,36.666666666666664
777,128,123,67,63,37.22222222222222
778,128,62,60,57,33.33333333333333
779,128,9,79,63,43.888888888888886
